OrderID,CustomerID,Product,Category,Quantity,Price,OrderDate
8ad4a7ce-1a36-470d-8a2c-425826fce3aa,1216,goal,Fashion,6,376.74,2025-08-19
c2a75e84-144c-4e16-97f2-8f958829d83e,5704,decision,Toys,2,169.09,2025-02-26
da5b0255-7d8b-471a-a368-feca6e87c500,1264,same,Fashion,7,89.95,2024-12-31
18d9970d-c015-4141-b730-986d7837f30b,5522,her,Toys,5,273.01,2024-10-24
34f9e046-76af-4841-b489-1e77d2634016,4146,Republican,Electronics,1,483.26,2025-06-19
e80a3f9f-c675-4264-8ade-505e0758b052,7986,natural,Fashion,10,121.42,2025-03-24
34e10d8b-7d84-43d3-be5a-54dbcb15d738,4340,inside,Fashion,1,291.53,2025-07-07
90704c6b-56fe-4464-9341-664e4d2ce08e,1413,phone,Electronics,2,199.13,2025-04-27
8b561f44-766e-4932-aa94-b13d93b0a1bc,6107,idea,Toys,8,144.65,2025-01-25
db233cb1-c051-4dbe-b637-e4d22370f399,9393,news,Toys,3,141.68,2025-01-03
3867a9a2-bdf5-4714-bde8-c4a833b8d4c9,9325,whom,Home,6,260.56,2025-07-20
1821010f-6293-4a63-90a3-088d7bd53e2d,9397,stage,Fashion,6,311.54,2025-06-25
fd4ce50e-c2c4-408e-9ac5-34e4b3aef480,1123,front,Home,2,374.08,2024-12-21
1951303c-91ff-4f84-9978-c78ab65ca601,4852,attention,Toys,7,282.33,2024-12-27
f80e394a-2548-4069-8dd4-09694dbee2d1,7245,article,Electronics,2,245.59,2024-10-14
8e64dc7e-2fdd-4dfc-afc1-f1c5d73b1d13,6958,business,Fashion,9,241.95,2024-12-03
0c06b44c-0b4a-410b-9747-32958144ffdd,1531,indicate,Fashion,5,144.12,2025-09-12
ebc05387-1390-47c1-8a1d-e11e502b9e20,9988,use,Home,7,31.48,2025-02-02
e27469d1-61ad-4055-b053-1b6f214b6dd2,1101,try,Toys,3,250.54,2024-11-05
d73b3978-3c3f-4d70-bab7-56ad6774ff78,6959,east,Fashion,4,48.45,2025-09-28
5fed9162-50f7-406f-a5e1-57b562fecdf5,5204,listen,Home,8,142.1,2024-11-19
87dbe9b8-745a-4799-876b-3eea68b582ae,8668,several,Home,5,347.14,2025-07-19
61f85334-ee2d-4d65-96ea-29536e1de915,3061,tough,Fashion,9,134.92,2024-12-09
a0568027-bff4-4e61-aac8-87538436e6b7,2758,nearly,Electronics,6,89.77,2025-07-16
016dccc6-a420-49ab-9342-1770828e682b,9794,visit,Home,6,427.88,2024-11-03
c303c91d-dca1-428f-91da-7335d47be8ab,2305,deep,Toys,1,118.24,2024-11-10
be52d88d-8d9f-48bd-9d30-a0d6604e5d4c,6658,central,Home,7,376.48,2024-12-28
d9b28314-3b42-4a7e-a829-86baf5ee6219,7327,defense,Home,9,143.06,2025-06-19
2c545e73-aa34-490d-b63c-fbc5a1ca0fc1,7945,source,Toys,10,33.54,2025-03-03
3dfc4d35-6c53-41a9-9602-1fbe89d7ea7b,7341,money,Fashion,8,195.95,2025-03-14
22134ddb-73cd-4be3-8537-780b0a139ffd,3328,be,Toys,5,364.25,2025-04-18
163840f3-313c-466e-8bfb-4b36018c2223,6501,challenge,Home,1,478.54,2025-07-29
81218676-551c-4514-ba79-03221046df44,9834,increase,Toys,2,278.9,2024-10-28
82773738-3c4f-4acc-8b43-9f9669ff8db3,5141,nation,Home,10,274.01,2025-01-25
1704d98e-2f7e-427d-bcbc-12b1ea20e05a,4261,head,Electronics,9,115.47,2024-12-27
c29f2fb9-c546-4328-b219-5241cfb334aa,2614,remain,Electronics,7,67.14,2025-10-07
05304cf3-e5d7-4a01-b550-7e0de5a99af2,5658,you,Electronics,10,113.41,2025-04-01
01694796-cf63-4c07-a96a-69f7d83cdc68,1545,do,Toys,4,139.46,2025-09-14
e8350357-5b03-40d8-b629-e0e8d9a31fbd,4672,social,Fashion,8,324.1,2025-05-11
416f4355-083e-4580-b2ef-57994d6cf831,5763,Congress,Home,6,453.18,2025-07-04
aa640b88-74bb-4ffc-997b-4c4f5cae1462,5117,the,Toys,4,213.62,2025-05-20
d1a90670-1ddb-421b-8b27-ec63bf80136e,1217,magazine,Home,8,375.43,2024-12-15
42e081c7-cb30-481f-a34a-f5fa104fb22f,7217,animal,Fashion,8,396.05,2025-04-17
cbfbdeb4-8fee-4286-a7f3-1c97d50c1fa7,8006,room,Home,4,426.01,2025-06-03
6bcd0fd2-a516-46aa-b643-ee77afe60532,4000,former,Toys,8,474.05,2025-01-06
7bb75215-d84a-494e-a68f-605ef5b5b4ec,5070,range,Toys,7,249.98,2025-08-21
9c006fd5-f1ec-45c2-8643-10fdfd4aa994,9969,well,Toys,10,426.58,2025-01-08
2b8519b1-0eee-4527-93c1-b6988d2ce666,3577,where,Electronics,1,351.19,2025-03-20
68c98f66-bf43-4639-a2ce-2c76b691c5bd,9663,mean,Toys,5,214.38,2025-02-10
1bc92e83-ba26-4619-90e1-90a163f33fbc,6226,build,Electronics,2,96.12,2024-11-20
cb8d8deb-d004-4b68-834f-811fb16c4515,6115,budget,Toys,8,92.19,2024-12-17
ebf38796-e5aa-4394-bbf6-920f4ad58a61,5038,thought,Electronics,8,27.04,2025-04-27
9f907129-9c3a-4c1b-97c9-e308b0522423,8741,democratic,Home,10,157.36,2025-08-17
b4eadac5-2562-4fa9-920d-93da5ef73330,6984,more,Home,9,312.85,2025-03-23
3216aa1d-3c93-48e2-b5a5-a255447487cb,4038,else,Electronics,1,353.87,2025-04-06
603ec44f-8d9b-4d90-a35e-3bdade3084b9,6221,candidate,Toys,3,31.46,2025-01-20
1633ebe2-78c2-417d-a960-bc17fc9a557c,3795,make,Electronics,8,49.66,2025-03-20
1884b5bd-ba23-4408-a779-64b71a734f2e,1945,newspaper,Home,10,465.09,2024-10-24
27f9eef4-8b6f-409d-9652-919624db365f,3277,use,Fashion,7,72.36,2025-09-03
528c5eee-e985-4475-99c8-f27d2e34dfb7,7585,door,Electronics,10,426.82,2024-11-04
48745153-b21b-4d6d-b98e-b2a112ca1e2a,9178,seat,Home,5,14.76,2024-12-10
bb72d052-935e-49b5-95a2-9649a9167300,7881,by,Toys,7,71.57,2025-08-25
a62c42fa-17a8-4028-92a7-6953138a642a,4241,many,Home,10,230.36,2025-06-03
b46b2b63-f53c-491e-a805-de23a9496b75,2629,popular,Home,5,78.44,2025-04-27
f2265bc7-c1ad-4409-91fe-411e9e453168,3928,age,Toys,1,61.52,2025-10-02
8fe0eb29-2eb3-44a3-8847-699e3156a105,2676,receive,Electronics,2,350.16,2025-06-30
8a8d1f87-b64f-4e6d-be6b-956ee191018f,2512,behind,Toys,5,58.64,2025-01-12
